"yC3ZMb href","Vpc5Fe","GSM50","KgoSse href","y3Ibjb","OA1nbd","gERoBf href","gd5Tqf","uo5PT","XVR0jd","PhaUTe","GSM50 2","KmCjbd","QVQhvb","enjdgf","qGGAec","KmCjbd 2","qGGAec 2","UEEEAc","RJCWf","qGGAec 3","OA1nbd 2","qGGAec 4","UEEEAc 2","RJCWf 2"
"https://www.google.com/maps/contrib/105870802258947550828/reviews?hl=en-GB","Farid Deraman","4 reviews","https://www.google.com/local/review/rap/report?postId=Ci9DQUlRQUNvZENodHljRjlvT2tSeU5XcFFTVk4xT1RKSUxXSlRXVmRLUXpoWVQyYxAB&t=1&entityid=Ci9DQUlRQUNvZENodHljRjlvT2tSeU5XcFFTVk4xT1RKSUxXSlRXVmRLUXpoWVQyYxJbCkxDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTZVU1WGNGRlRWazR4VDFSS1NVeFhTbFJYVm1STFVYcG9XVlF5WXdvR2NtVjJhV1YzEgswY25fcUJmNTUtLRpbCkxDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRTZVU1WGNGRlRWazR4VDFSS1NVeFhTbFJYVm1STFVYcG9XVlF5WXdvR2NtRjBhVzVuEgswY25fcUJmNTUtLSISCQAAAAAAAAAAEdd4D85hvrZcKgswY25fcUJmNTUtLQ&wv=1&d=286732336&gsas=1","Edited 4 weeks ago","The good:Had 2 wisdom tooth extraction and braces. No issue at allThe bad:Crown:After braces I was recommended bonding or crown as my teeth still has gap because of peg lateral tooth. At first i choose bonding but it broke and stained. After that I was recommended crown. The doctor didnt explained fully about the crown at all. I asked the doctor if they shaving tooth a little and does the crown feel like real teeth. The doctor said yes. The doctor dont recommend veneer at other clinic (this clinic dont provide veneer). After crown installation, the crown feel too bulky and doesnt feel like real teeth at all. I made few adjustment after but still not feel comfortable after 7 months+. I even asked to pull out my crown but the doctor said the tooth will be very sensitive. Then I asked 2nd opinion from 3 doctor from 2 clinic (general dentist, endo and prosthodontist). They said the crown does not installed correctly. Then I went to prosthodontist to put new crown. Right now it feels like 90%, 95% real teeth.Filling (possible cause?)Had filling at clinic A. But after the filling, the tooth feel pain. Went to the clinic the doctor said need to wait few weeks. I was dumb and go to this clinic. The doctor said the filling is not enough. But after the filling, I think its the worst filling i had. I cant even floss the teeth. Then I went to the doctor to adjust the filling. After few days the pain goes away (maybe because of time) and can floss. But after few months, my teeth feel sensitive. Went to clinic A and they said my teeth had fracture. Had to do large filling because of that. Few months after my teeth still feel sensitive. Clinic A said because there microleakage. The doctor redo the filling but after a week still feel sensitive. The doctor suggest do root canal or endo. I went to endo and he said only need to do filing. So far my teeth feel 85% ok. The endo said need to wait few weeks","[object Object]","_","1","❤️","Klinik Pergigian Alam Megah (owner)","a month ago","Thank you for sharing your feedback. We are sorry to hear that your experience did not meet your expectations and that you have experienced discomfort. We take all patient concerns seriously and always aim to ensure treatment plans are clearly explained and that our patients feel supported in their choices.We have already reached out to you privately and would still like the opportunity to review your case in more detail so we can better understand the situation and address your concerns. Please feel free to contact us at your convenience.Your comfort, satisfaction, and trust are very important to us, and we truly value the chance to improve our care and communication.","","","","","","","","","","","",""
"https://www.google.com/maps/contrib/106437964061254300011/reviews?hl=en-GB","Ahmad Zakwan","3 reviews","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTURJblBTTWJBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTURJblBTTWJBEi4KF0NJSE0wb2dLRUlDQWdNREluUFNNN0FFEhNDZ3dJNmVMZ3dBWVE4TXZ3akFFGiwKFkNJSE0wb2dLRUlDQWdNREluUFNNSEESEkNnc0ltcGZTdndZUTZKTHlPZyISCQAAAAAAAAAAEdd4D85hvrZcKhNDZ3dJNmVMZ3dBWVE4TXZ3akFF&wv=1&d=286732336&gsas=1","Edited 5 months ago","It’s my second time here for removing wisdom tooth, and to be honest, the experience was great! I really love how gentle everyone was with me especially during the minor oral surgery and surprisingly, it’s not that pain at all, bearable. Also, everyone there were so helpful and easy to communicate with especially through WhatsApp! I highly recommend this clinic to those who want to remove their wisdom tooth!!Update!I’ve extracted all of my wisdom tooth here at this clinic, and it was the best experience ever! To be very honest, the pain was very minimal to zero, bearable, shout out to Dr Gan and all the nurses who helped me throughout the journey. They really did a great job! Also, they are super friendly and welcoming everytime I went for appointment. They also gave me a lot of tips on how to handle the post surgery, what to eat, how to minimise the pain, which it’s very helpful!In terms of the price, it’s affordable to be honest, but it depends on the case. As for mine, I know it’s going to cost me a lot because I keep on neglecting to extract all of my wisdom tooth until the point it becomes complicated to extract. So, please, do it as soon as you can!!All in all, if you’re looking for a friendly, yet affordable clinic, this is the best clinic you can go.","[object Object]","_","1","❤️","Klinik Pergigian Alam Megah (owner)","a month ago","Thank you so much for trusting us with your wisdom tooth extractions and for sharing such a wonderful review! 🌸 We’re truly happy to know that your experience was gentle and comfortable, and our team could make the journey smooth for you. Your kind words mean a lot to us and will definitely motivate us to continue giving our best care. Wishing you a speedy recovery and healthier, brighter smiles ahead! 😁💙","","","","","","","","","","","",""
"https://www.google.com/maps/contrib/109225171547520157827/reviews?hl=en-GB","Mu'minah","1 review","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTUNReGRIMFNBEAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTUNReGRIMFNBEi4KF0NJSE0wb2dLRUlDQWdNQ1F4ZEgweUFFEhNDZ3dJXzRtbHZnWVFxUEtqbmdNGi0KFkNJSE0wb2dLRUlDQWdNQ1F4ZEgwS0ESE0Nnd0lfNG1sdmdZUXFQS2puZ00iEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3SV80bWx2Z1lRcVBLam5nTQ&wv=1&d=286732336&gsas=1","7 months ago","I received excellent service. Dr. Gan and Dr. Nick were professional and efficient during my tooth extraction and braces treatment. There was minimal waiting time, and they provided helpful advice after the treatment. The clinic's modern design made the visit comfortable.","[object Object]","_","1","❤️","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you Mu'minah for your review🙏😀. It is very much appreciated. We will continue to improve our efficiency and services to serve ypu better.","","","","","","","","","","","",""
"https://www.google.com/maps/contrib/100413213671242376465/reviews?hl=en-GB","Aiezza Pentagon","6 reviews","https://www.google.com/local/review/rap/report?postId=Ci9DQUlRQUNvZENodHljRjlvT21WaldrNHpMV1JxYTI5SFRXbFBUVU5mWTNaclNuYxAB&t=1&entityid=Ci9DQUlRQUNvZENodHljRjlvT21WaldrNHpMV1JxYTI5SFRXbFBUVU5mWTNaclNuYxJbCkxDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFXYWxkck5IcE1WMUp4WVRJNVNGUlhiRkJVVlU1bVdUTmFjbE51WXdvR2NtVjJhV1YzEgswY1VxMzgxSl9FahpbCkxDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFXYWxkck5IcE1WMUp4WVRJNVNGUlhiRkJVVlU1bVdUTmFjbE51WXdvR2NtRjBhVzVuEgswY1VxMzgxSl9FaiISCQAAAAAAAAAAEdd4D85hvrZcKgswY1VxMzgxSl9Fag&wv=1&d=286732336&gsas=1","2 months ago","The Dr and staff here are very friendly, the environment is good...and the charges also very reasonable...","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","a month ago","Thank you so much for your feedback!!","Hover to react","","","","","","","","","","",""
"https://www.google.com/maps/contrib/115780864460406219780/reviews?hl=en-GB","saiful ikhwan","3 reviews1 photo","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTUR3M291REFREAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTUR3M291REFREi4KF0NJSE0wb2dLRUlDQWdNRHczb3VEZ1FFEhNDZ3dJNnVxTnZ3WVF3TzdFMndJGi0KFkNJSE0wb2dLRUlDQWdNRHczb3VEUVESE0Nnd0k2dXFOdndZUXdPN0Uyd0kiEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3STZ1cU52d1lRd083RTJ3SQ&wv=1&d=286732336&gsas=1","6 months ago","Good service and the pricing is affordable. The dentist is very nice and will help you as much as he can based on your needs and budget. Very recommended.","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","6 months ago","Thank you Saiful for your feedback. We truly appreciate it🙏😃!!!","Hover to react","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/105235673995122761121/reviews?hl=en-GB","nurin sofia","5 reviews","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTUNRaWZyWlZ3EAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTUNRaWZyWlZ3Ei4KF0NJSE0wb2dLRUlDQWdNQ1FpZnJaMXdFEhNDZ3dJbUxDZ3ZnWVFrUEhldFFNGi0KFkNJSE0wb2dLRUlDQWdNQ1FpZnJaTncSE0Nnd0ltTENndmdZUWtQSGV0UU0iEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3SW1MQ2d2Z1lRa1BIZXRRTQ&wv=1&d=286732336&gsas=1","7 months ago","best dental clinic i have ever been! all the staffs and doctor are very friendly and helpful. they offer great services with reasonable prices. very recommended!","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you Nurin for your feedback😀🙏.  We will continue to improve our services 😀.","Hover to react","","","","","","","","","","",""
"https://www.google.com/maps/contrib/111121794452299554021/reviews?hl=en-GB","aelisya","2 reviews1 photo","https://www.google.com/local/review/rap/report?postId=ChZDSUhNMG9nS0VJQ0FnTUNvdnF1MWR3EAE&t=1&entityid=ChZDSUhNMG9nS0VJQ0FnTUNvdnF1MWR3Ei0KFkNJSE0wb2dLRUlDQWdNQ292dHZvZHcSE0Nnd0k1NnlEd0FZUXFNYTZ0d00aLgoXQ0lITTBvZ0tFSUNBZ01Db3ZxdTE5d0USE0Nnd0k3S3VEd0FZUS1Qck95QU0iEgkAAAAAAAAAABHXeA_OYb62XCoTQ2d3STU2eUR3QVlRcU1hNnR3TQ&wv=1&d=286732336&gsas=1","6 months ago","Great services! Staff & Dr. pun friendlyy ☺️ Scaling with affordable price also!!","[object Object]","_","","","","","","Hover to react","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/111224984350478998844/reviews?hl=en-GB","Aza Firah","5 reviews1 photo","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTUR3bGUycjR3RRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTUR3bGUycjR3RRItChZDSUhNMG9nS0VJQ0FnTUR3bGUyckV3EhNDZ3dJcnFlVXZ3WVEtTmlBelFJGi4KF0NJSE0wb2dLRUlDQWdNRHdsZTJya3dFEhNDZ3dJcnFlVXZ3WVEtTmlBelFJIhIJAAAAAAAAAAAR13gPzmG-tlwqE0Nnd0lycWVVdndZUS1OaUF6UUk&wv=1&d=286732336&gsas=1","6 months ago","Good Environment. Treat customers pun like a friend. Recommend this clinic. Services pun just nice. 👍🏻👍🏻👍🏻","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","6 months ago","Thank you Aza Firah!! Its been a pleasure serving you. Looking forward to seeing you again😁","Hover to react","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/116842344925009831211/reviews?hl=en-GB","Nur Diana","Local Guide80 reviews156 photos","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTURndGRIeGxnRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTURndGRIeGxnRRIsChZDSUhNMG9nS0VJQ0FnTURndGRIeFZnEhJDZ3NJaHNyN3ZRWVFzUHY0RGcaLQoXQ0lITTBvZ0tFSUNBZ01EZ3RkSHgxZ0USEkNnc0loc3I3dlFZUXNQdjREZyISCQAAAAAAAAAAEdd4D85hvrZcKhJDZ3NJaHNyN3ZRWVFzUHY0RGc&wv=1&d=286732336&gsas=1","7 months ago","Friendly dental clinic with doctor on duty provided best counseling and advice..my own experience from root canal treatment, tooth extraction and still on schedule for braces appointment...very recommended to all who are facing dental problems...p/s: please feel free to contact them for appointment...","[object Object]","_","1","❤️","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you Diana, we appreciate your feedback 🙏. Please come again!!","","·","","","","","","","","","",""
"https://www.google.com/maps/contrib/100157688454132978453/reviews?hl=en-GB","shaa hatech","1 review","https://www.google.com/local/review/rap/report?postId=ChdDSUhNMG9nS0VJQ0FnTURnMVl6dGdRRRAB&t=1&entityid=ChdDSUhNMG9nS0VJQ0FnTURnMVl6dGdRRRIsChZDSUhNMG9nS0VJQ0FnTURnMVl6dFFREhJDZ3NJcFkzN3ZRWVFvTGJoYUEaLQoXQ0lITTBvZ0tFSUNBZ01EZzFZenR3UUUSEkNnc0lwWTM3dlFZUW9MYmhhQSISCQAAAAAAAAAAEdd4D85hvrZcKhJDZ3NJcFkzN3ZRWVFvTGJoYUE&wv=1&d=286732336&gsas=1","7 months ago","Best clinic ever! Doctor and staff very friendly, affordable price and their service A+. Recommended clinic","[object Object]","_","","","Klinik Pergigian Alam Megah (owner)","7 months ago","Thank you for your lovely comment. We reaaly do appreaciate it. Please come again😁","Hover to react","","","","","","","","","","",""
